archetype,batch,max_seq,flat_us,cascade_us,ml_cascade_us,casc_over_flat,casc_over_ml
single_q1[P=128],1,136,14.240000396966934,17.40800030529499,20.54399996995926,1.222471897472898,0.8473520410217131
single_q1[P=1024],1,1032,19.45599913597107,33.79200026392937,29.69600073993206,1.7368421959606946,1.1379310150167607
single_q1[P=4096],1,4104,41.98399931192398,50.175998359918594,52.22399905323982,1.1951219317419335,0.9607842997386433
single_q1[P=16384],1,16392,108.5439994931221,115.87200313806534,119.80800330638885,1.0675118263484253,0.9671474353991373
single_q4[P=128],4,136,14.336000196635723,23.552000522613525,21.695999428629875,1.64285715677798,1.0855457753900235
single_q4[P=1024],4,1032,22.36800082027912,45.05600035190582,29.69600073993206,2.0143060935091466,1.517241353355681
single_q4[P=4096],4,4104,44.03200000524521,55.296000093221664,55.296000093221664,1.2558139554559107,1.0
single_q4[P=16384],4,16392,132.09599256515503,123.90399724245071,121.85599654912949,0.9379845280418806,1.0168067288547062
single_q16[P=128],16,136,15.359999611973763,30.719999223947525,28.672000393271446,2.0,1.0714285296660602
single_q16[P=1024],16,1032,41.98399931192398,72.7040022611618,36.86400130391121,1.7317073993118364,1.9722222138009753
single_q16[P=4096],16,4104,133.12000036239624,62.463998794555664,64.51199948787689,0.4692307588980484,0.9682539572547881
single_q16[P=16384],16,16392,544.735997915268,133.12000036239624,131.071999669075,0.2443752586057341,1.0156250053290705
single_q64[P=128],64,136,36.86400130391121,47.10400104522705,43.007999658584595,1.2777777609352838,1.0952381282356356
single_q64[P=1024],64,1032,141.31200313568115,89.08800035715103,80.89599758386612,0.630434771146885,1.1012658600914358
single_q64[P=4096],64,4104,499.7119903564453,146.62399888038635,133.12000036239624,0.29341701161863104,1.1014422962832617
single_q64[P=16384],64,16392,2061.8399381637573,450.0479996204376,364.54400420188904,0.21827494525168786,1.234550546526601
forest_balanced[G=1],8,2057,48.128001391887665,45.05600035190582,40.95999896526337,0.9361701930032845,1.100000036379789
forest_balanced[G=4],32,2057,140.28799533843994,88.06400001049042,91.13600105047226,0.6277372472109183,0.9662921238086744
forest_balanced[G=16],128,2057,518.6560153961182,251.90401077270508,247.80799448490143,0.4856860873006862,1.0165289917152096
forest_balanced[G=64],512,2057,2170.880079269409,999.4239807128906,990.2080297470093,0.46037733279547993,1.0093070856719228
forest_ragged,29,2057,134.14399325847626,109.56799983978271,91.13600105047226,0.8167939329840948,1.202247175395622
eagle_pyramid,64,2052,261.1199915409088,273.4079957008362,291.83998703956604,1.047058840984997,0.936842132136502
variable_depth,16,2052,78.84799689054489,128.00000607967377,86.01599931716919,1.6233767645024724,1.4880953205890892
beam_converged,1,2056,27.648000046610832,36.86400130391121,38.91199827194214,1.3333333782466519,0.9473684966339121
beam_diverged,64,2050,758.7839961051941,766.975998878479,789.5039916038513,1.0107962250328606,0.9714656379638975
dbs_balanced,16,2184,76.80000364780426,58.78400057554245,51.19999870657921,0.7654166378053695,1.1481250402451415
dbs_pruned,15,2184,73.72800260782242,78.84799689054489,51.19999870657921,1.0694443644425986,1.5399999781721265
dbs_late,16,2057,74.75200295448303,81.91999793052673,80.89599758386612,1.0958903399606341,1.0126582325114295
